ID,seg,music_training,press
W23-YKF,Seg1,10,0
W23-YKF,Seg2,10,0
W23-YKF,Seg3,10,0
W23-YKF,Seg4,10,0
W23-YKF,Seg5,10,0
W23-YKF,Seg6,10,0
W23-YKF,Seg7,10,0
W23-YKF,Seg8,10,0
W23-YKF,Seg9,10,0
W23-YKF,Seg10,10,0
W23-YKF,Seg11,10,0
W23-YKF,Seg12,10,0
W23-YKF,Seg13,10,0
W23-YKF,Seg14,10,0
W23-YKF,Seg15,10,0
W23-YKF,Seg16,10,0
W23-YKF,Seg17,10,0
W23-YKF,Seg18,10,0
W23-YKF,Seg19,10,0
W23-YKF,Seg20,10,0
W23-YKF,Seg21,10,0
S06-BRW,Seg1,7,0
S06-BRW,Seg2,7,1
S06-BRW,Seg3,7,0
S06-BRW,Seg4,7,1
S06-BRW,Seg5,7,0
S06-BRW,Seg6,7,0
S06-BRW,Seg7,7,0
S06-BRW,Seg8,7,0
S06-BRW,Seg9,7,1
S06-BRW,Seg10,7,0
S06-BRW,Seg11,7,0
S06-BRW,Seg12,7,0
S06-BRW,Seg13,7,0
S06-BRW,Seg14,7,0
S06-BRW,Seg15,7,1
S06-BRW,Seg16,7,0
S06-BRW,Seg17,7,0
S06-BRW,Seg18,7,0
S06-BRW,Seg19,7,0
S06-BRW,Seg20,7,0
S06-BRW,Seg21,7,1
N70-YTS,Seg1,10,0
N70-YTS,Seg2,10,0
N70-YTS,Seg3,10,0
N70-YTS,Seg4,10,1
N70-YTS,Seg5,10,0
N70-YTS,Seg6,10,0
N70-YTS,Seg7,10,0
N70-YTS,Seg8,10,0
N70-YTS,Seg9,10,0
N70-YTS,Seg10,10,0
N70-YTS,Seg11,10,0
N70-YTS,Seg12,10,0
N70-YTS,Seg13,10,0
N70-YTS,Seg14,10,0
N70-YTS,Seg15,10,0
N70-YTS,Seg16,10,0
N70-YTS,Seg17,10,0
N70-YTS,Seg18,10,0
N70-YTS,Seg19,10,0
N70-YTS,Seg20,10,0
N70-YTS,Seg21,10,0
S26-WMX,Seg1,8,0
S26-WMX,Seg2,8,0
S26-WMX,Seg3,8,0
S26-WMX,Seg4,8,0
S26-WMX,Seg5,8,0
S26-WMX,Seg6,8,0
S26-WMX,Seg7,8,0
S26-WMX,Seg8,8,0
S26-WMX,Seg9,8,0
S26-WMX,Seg10,8,0
S26-WMX,Seg11,8,0
S26-WMX,Seg12,8,0
S26-WMX,Seg13,8,0
S26-WMX,Seg14,8,0
S26-WMX,Seg15,8,0
S26-WMX,Seg16,8,0
S26-WMX,Seg17,8,0
S26-WMX,Seg18,8,0
S26-WMX,Seg19,8,0
S26-WMX,Seg20,8,0
S26-WMX,Seg21,8,0
K73-KVY,Seg1,6,0
K73-KVY,Seg2,6,0
K73-KVY,Seg3,6,0
K73-KVY,Seg4,6,0
K73-KVY,Seg5,6,0
K73-KVY,Seg6,6,0
K73-KVY,Seg7,6,0
K73-KVY,Seg8,6,0
K73-KVY,Seg9,6,0
K73-KVY,Seg10,6,0
K73-KVY,Seg11,6,0
K73-KVY,Seg12,6,0
K73-KVY,Seg13,6,0
K73-KVY,Seg14,6,0
K73-KVY,Seg15,6,0
K73-KVY,Seg16,6,0
K73-KVY,Seg17,6,0
K73-KVY,Seg18,6,0
K73-KVY,Seg19,6,0
K73-KVY,Seg20,6,0
K73-KVY,Seg21,6,0
R12-RXN,Seg1,10,0
R12-RXN,Seg2,10,0
R12-RXN,Seg3,10,1
R12-RXN,Seg4,10,0
R12-RXN,Seg5,10,0
R12-RXN,Seg6,10,1
R12-RXN,Seg7,10,0
R12-RXN,Seg8,10,0
R12-RXN,Seg9,10,1
R12-RXN,Seg10,10,0
R12-RXN,Seg11,10,0
R12-RXN,Seg12,10,0
R12-RXN,Seg13,10,0
R12-RXN,Seg14,10,0
R12-RXN,Seg15,10,0
R12-RXN,Seg16,10,0
R12-RXN,Seg17,10,0
R12-RXN,Seg18,10,0
R12-RXN,Seg19,10,0
R12-RXN,Seg20,10,1
R12-RXN,Seg21,10,0
B22-WYD,Seg1,3,0
B22-WYD,Seg2,3,0
B22-WYD,Seg3,3,0
B22-WYD,Seg4,3,0
B22-WYD,Seg5,3,0
B22-WYD,Seg6,3,0
B22-WYD,Seg7,3,0
B22-WYD,Seg8,3,0
B22-WYD,Seg9,3,0
B22-WYD,Seg10,3,0
B22-WYD,Seg11,3,0
B22-WYD,Seg12,3,0
B22-WYD,Seg13,3,0
B22-WYD,Seg14,3,0
B22-WYD,Seg15,3,0
B22-WYD,Seg16,3,0
B22-WYD,Seg17,3,0
B22-WYD,Seg18,3,0
B22-WYD,Seg19,3,0
B22-WYD,Seg20,3,0
B22-WYD,Seg21,3,0
V34-VSV,Seg1,7,0
V34-VSV,Seg2,7,0
V34-VSV,Seg3,7,1
V34-VSV,Seg4,7,0
V34-VSV,Seg5,7,0
V34-VSV,Seg6,7,0
V34-VSV,Seg7,7,0
V34-VSV,Seg8,7,0
V34-VSV,Seg9,7,1
V34-VSV,Seg10,7,0
V34-VSV,Seg11,7,0
V34-VSV,Seg12,7,0
V34-VSV,Seg13,7,0
V34-VSV,Seg14,7,0
V34-VSV,Seg15,7,0
V34-VSV,Seg16,7,1
V34-VSV,Seg17,7,0
V34-VSV,Seg18,7,0
V34-VSV,Seg19,7,0
V34-VSV,Seg20,7,0
V34-VSV,Seg21,7,0
R86-RGT,Seg1,5,0
R86-RGT,Seg2,5,0
R86-RGT,Seg3,5,0
R86-RGT,Seg4,5,0
R86-RGT,Seg5,5,0
R86-RGT,Seg6,5,0
R86-RGT,Seg7,5,0
R86-RGT,Seg8,5,0
R86-RGT,Seg9,5,0
R86-RGT,Seg10,5,0
R86-RGT,Seg11,5,0
R86-RGT,Seg12,5,0
R86-RGT,Seg13,5,0
R86-RGT,Seg14,5,0
R86-RGT,Seg15,5,0
R86-RGT,Seg16,5,1
R86-RGT,Seg17,5,0
R86-RGT,Seg18,5,0
R86-RGT,Seg19,5,0
R86-RGT,Seg20,5,0
R86-RGT,Seg21,5,0
V31-NKD,Seg1,10,0
V31-NKD,Seg2,10,0
V31-NKD,Seg3,10,0
V31-NKD,Seg4,10,0
V31-NKD,Seg5,10,0
V31-NKD,Seg6,10,0
V31-NKD,Seg7,10,0
V31-NKD,Seg8,10,0
V31-NKD,Seg9,10,0
V31-NKD,Seg10,10,0
V31-NKD,Seg11,10,0
V31-NKD,Seg12,10,0
V31-NKD,Seg13,10,0
V31-NKD,Seg14,10,0
V31-NKD,Seg15,10,0
V31-NKD,Seg16,10,0
V31-NKD,Seg17,10,0
V31-NKD,Seg18,10,0
V31-NKD,Seg19,10,0
V31-NKD,Seg20,10,0
V31-NKD,Seg21,10,0
F18-CDZ,Seg1,3,0
F18-CDZ,Seg2,3,0
F18-CDZ,Seg3,3,1
F18-CDZ,Seg4,3,1
F18-CDZ,Seg5,3,0
F18-CDZ,Seg6,3,0
F18-CDZ,Seg7,3,0
F18-CDZ,Seg8,3,0
F18-CDZ,Seg9,3,0
F18-CDZ,Seg10,3,0
F18-CDZ,Seg11,3,0
F18-CDZ,Seg12,3,1
F18-CDZ,Seg13,3,0
F18-CDZ,Seg14,3,0
F18-CDZ,Seg15,3,0
F18-CDZ,Seg16,3,0
F18-CDZ,Seg17,3,0
F18-CDZ,Seg18,3,0
F18-CDZ,Seg19,3,0
F18-CDZ,Seg20,3,1
F18-CDZ,Seg21,3,0
W43-RGY,Seg1,5,0
W43-RGY,Seg2,5,0
W43-RGY,Seg3,5,0
W43-RGY,Seg4,5,0
W43-RGY,Seg5,5,0
W43-RGY,Seg6,5,0
W43-RGY,Seg7,5,0
W43-RGY,Seg8,5,0
W43-RGY,Seg9,5,0
W43-RGY,Seg10,5,0
W43-RGY,Seg11,5,0
W43-RGY,Seg12,5,0
W43-RGY,Seg13,5,0
W43-RGY,Seg14,5,0
W43-RGY,Seg15,5,0
W43-RGY,Seg16,5,0
W43-RGY,Seg17,5,0
W43-RGY,Seg18,5,0
W43-RGY,Seg19,5,0
W43-RGY,Seg20,5,0
W43-RGY,Seg21,5,0
Z40-FKG,Seg1,10,0
Z40-FKG,Seg2,10,0
Z40-FKG,Seg3,10,0
Z40-FKG,Seg4,10,0
Z40-FKG,Seg5,10,0
Z40-FKG,Seg6,10,0
Z40-FKG,Seg7,10,0
Z40-FKG,Seg8,10,0
Z40-FKG,Seg9,10,0
Z40-FKG,Seg10,10,0
Z40-FKG,Seg11,10,0
Z40-FKG,Seg12,10,1
Z40-FKG,Seg13,10,0
Z40-FKG,Seg14,10,0
Z40-FKG,Seg15,10,0
Z40-FKG,Seg16,10,0
Z40-FKG,Seg17,10,0
Z40-FKG,Seg18,10,0
Z40-FKG,Seg19,10,0
Z40-FKG,Seg20,10,0
Z40-FKG,Seg21,10,0
B35-DRN,Seg1,4,0
B35-DRN,Seg2,4,0
B35-DRN,Seg3,4,0
B35-DRN,Seg4,4,0
B35-DRN,Seg5,4,0
B35-DRN,Seg6,4,0
B35-DRN,Seg7,4,0
B35-DRN,Seg8,4,0
B35-DRN,Seg9,4,0
B35-DRN,Seg10,4,0
B35-DRN,Seg11,4,0
B35-DRN,Seg12,4,0
B35-DRN,Seg13,4,0
B35-DRN,Seg14,4,0
B35-DRN,Seg15,4,0
B35-DRN,Seg16,4,0
B35-DRN,Seg17,4,0
B35-DRN,Seg18,4,0
B35-DRN,Seg19,4,0
B35-DRN,Seg20,4,0
B35-DRN,Seg21,4,0
S33-YTB,Seg1,10,0
S33-YTB,Seg2,10,0
S33-YTB,Seg3,10,0
S33-YTB,Seg4,10,0
S33-YTB,Seg5,10,0
S33-YTB,Seg6,10,0
S33-YTB,Seg7,10,0
S33-YTB,Seg8,10,0
S33-YTB,Seg9,10,0
S33-YTB,Seg10,10,0
S33-YTB,Seg11,10,0
S33-YTB,Seg12,10,1
S33-YTB,Seg13,10,0
S33-YTB,Seg14,10,0
S33-YTB,Seg15,10,0
S33-YTB,Seg16,10,0
S33-YTB,Seg17,10,0
S33-YTB,Seg18,10,0
S33-YTB,Seg19,10,0
S33-YTB,Seg20,10,0
S33-YTB,Seg21,10,0
R57-GKS,Seg1,0,0
R57-GKS,Seg2,0,0
R57-GKS,Seg3,0,1
R57-GKS,Seg4,0,0
R57-GKS,Seg5,0,0
R57-GKS,Seg6,0,0
R57-GKS,Seg7,0,0
R57-GKS,Seg8,0,0
R57-GKS,Seg9,0,0
R57-GKS,Seg10,0,0
R57-GKS,Seg11,0,0
R57-GKS,Seg12,0,0
R57-GKS,Seg13,0,0
R57-GKS,Seg14,0,0
R57-GKS,Seg15,0,0
R57-GKS,Seg16,0,0
R57-GKS,Seg17,0,0
R57-GKS,Seg18,0,0
R57-GKS,Seg19,0,0
R57-GKS,Seg20,0,0
R57-GKS,Seg21,0,0
V34-KKP,Seg1,10,0
V34-KKP,Seg2,10,0
V34-KKP,Seg3,10,0
V34-KKP,Seg4,10,0
V34-KKP,Seg5,10,0
V34-KKP,Seg6,10,0
V34-KKP,Seg7,10,0
V34-KKP,Seg8,10,0
V34-KKP,Seg9,10,0
V34-KKP,Seg10,10,0
V34-KKP,Seg11,10,0
V34-KKP,Seg12,10,0
V34-KKP,Seg13,10,0
V34-KKP,Seg14,10,0
V34-KKP,Seg15,10,0
V34-KKP,Seg16,10,0
V34-KKP,Seg17,10,0
V34-KKP,Seg18,10,0
V34-KKP,Seg19,10,0
V34-KKP,Seg20,10,0
V34-KKP,Seg21,10,0
Z37-BHC,Seg1,5,0
Z37-BHC,Seg2,5,0
Z37-BHC,Seg3,5,0
Z37-BHC,Seg4,5,1
Z37-BHC,Seg5,5,0
Z37-BHC,Seg6,5,0
Z37-BHC,Seg7,5,0
Z37-BHC,Seg8,5,0
Z37-BHC,Seg9,5,0
Z37-BHC,Seg10,5,1
Z37-BHC,Seg11,5,0
Z37-BHC,Seg12,5,0
Z37-BHC,Seg13,5,0
Z37-BHC,Seg14,5,0
Z37-BHC,Seg15,5,1
Z37-BHC,Seg16,5,0
Z37-BHC,Seg17,5,0
Z37-BHC,Seg18,5,0
Z37-BHC,Seg19,5,0
Z37-BHC,Seg20,5,1
Z37-BHC,Seg21,5,0
W08-NKM,Seg1,0,0
W08-NKM,Seg2,0,1
W08-NKM,Seg3,0,0
W08-NKM,Seg4,0,0
W08-NKM,Seg5,0,0
W08-NKM,Seg6,0,0
W08-NKM,Seg7,0,0
W08-NKM,Seg8,0,0
W08-NKM,Seg9,0,0
W08-NKM,Seg10,0,0
W08-NKM,Seg11,0,0
W08-NKM,Seg12,0,0
W08-NKM,Seg13,0,0
W08-NKM,Seg14,0,0
W08-NKM,Seg15,0,0
W08-NKM,Seg16,0,0
W08-NKM,Seg17,0,0
W08-NKM,Seg18,0,0
W08-NKM,Seg19,0,0
W08-NKM,Seg20,0,1
W08-NKM,Seg21,0,0
W55-ZZC,Seg1,10,0
W55-ZZC,Seg2,10,0
W55-ZZC,Seg3,10,0
W55-ZZC,Seg4,10,0
W55-ZZC,Seg5,10,0
W55-ZZC,Seg6,10,0
W55-ZZC,Seg7,10,0
W55-ZZC,Seg8,10,0
W55-ZZC,Seg9,10,0
W55-ZZC,Seg10,10,0
W55-ZZC,Seg11,10,0
W55-ZZC,Seg12,10,0
W55-ZZC,Seg13,10,0
W55-ZZC,Seg14,10,0
W55-ZZC,Seg15,10,0
W55-ZZC,Seg16,10,0
W55-ZZC,Seg17,10,0
W55-ZZC,Seg18,10,0
W55-ZZC,Seg19,10,0
W55-ZZC,Seg20,10,0
W55-ZZC,Seg21,10,0
V53-KCF,Seg1,7,0
V53-KCF,Seg2,7,0
V53-KCF,Seg3,7,0
V53-KCF,Seg4,7,0
V53-KCF,Seg5,7,0
V53-KCF,Seg6,7,0
V53-KCF,Seg7,7,0
V53-KCF,Seg8,7,0
V53-KCF,Seg9,7,0
V53-KCF,Seg10,7,0
V53-KCF,Seg11,7,1
V53-KCF,Seg12,7,0
V53-KCF,Seg13,7,0
V53-KCF,Seg14,7,0
V53-KCF,Seg15,7,0
V53-KCF,Seg16,7,1
V53-KCF,Seg17,7,0
V53-KCF,Seg18,7,0
V53-KCF,Seg19,7,0
V53-KCF,Seg20,7,0
V53-KCF,Seg21,7,0
D64-PRG,Seg1,0,0
D64-PRG,Seg2,0,0
D64-PRG,Seg3,0,0
D64-PRG,Seg4,0,0
D64-PRG,Seg5,0,0
D64-PRG,Seg6,0,0
D64-PRG,Seg7,0,0
D64-PRG,Seg8,0,0
D64-PRG,Seg9,0,1
D64-PRG,Seg10,0,0
D64-PRG,Seg11,0,0
D64-PRG,Seg12,0,0
D64-PRG,Seg13,0,0
D64-PRG,Seg14,0,0
D64-PRG,Seg15,0,0
D64-PRG,Seg16,0,0
D64-PRG,Seg17,0,0
D64-PRG,Seg18,0,0
D64-PRG,Seg19,0,0
D64-PRG,Seg20,0,0
D64-PRG,Seg21,0,0
F27-NNC,Seg1,2,0
F27-NNC,Seg2,2,0
F27-NNC,Seg3,2,0
F27-NNC,Seg4,2,0
F27-NNC,Seg5,2,0
F27-NNC,Seg6,2,0
F27-NNC,Seg7,2,0
F27-NNC,Seg8,2,0
F27-NNC,Seg9,2,0
F27-NNC,Seg10,2,0
F27-NNC,Seg11,2,0
F27-NNC,Seg12,2,1
F27-NNC,Seg13,2,1
F27-NNC,Seg14,2,0
F27-NNC,Seg15,2,0
F27-NNC,Seg16,2,0
F27-NNC,Seg17,2,0
F27-NNC,Seg18,2,0
F27-NNC,Seg19,2,0
F27-NNC,Seg20,2,0
F27-NNC,Seg21,2,0
W58-CZV,Seg1,5,0
W58-CZV,Seg2,5,0
W58-CZV,Seg3,5,0
W58-CZV,Seg4,5,0
W58-CZV,Seg5,5,0
W58-CZV,Seg6,5,0
W58-CZV,Seg7,5,0
W58-CZV,Seg8,5,0
W58-CZV,Seg9,5,0
W58-CZV,Seg10,5,0
W58-CZV,Seg11,5,0
W58-CZV,Seg12,5,0
W58-CZV,Seg13,5,0
W58-CZV,Seg14,5,0
W58-CZV,Seg15,5,0
W58-CZV,Seg16,5,0
W58-CZV,Seg17,5,0
W58-CZV,Seg18,5,0
W58-CZV,Seg19,5,0
W58-CZV,Seg20,5,0
W58-CZV,Seg21,5,0
H80-NMB,Seg1,0,0
H80-NMB,Seg2,0,0
H80-NMB,Seg3,0,0
H80-NMB,Seg4,0,0
H80-NMB,Seg5,0,0
H80-NMB,Seg6,0,0
H80-NMB,Seg7,0,0
H80-NMB,Seg8,0,0
H80-NMB,Seg9,0,0
H80-NMB,Seg10,0,0
H80-NMB,Seg11,0,0
H80-NMB,Seg12,0,1
H80-NMB,Seg13,0,0
H80-NMB,Seg14,0,0
H80-NMB,Seg15,0,0
H80-NMB,Seg16,0,0
H80-NMB,Seg17,0,0
H80-NMB,Seg18,0,0
H80-NMB,Seg19,0,0
H80-NMB,Seg20,0,0
H80-NMB,Seg21,0,0
Y24-BDC,Seg1,3,0
Y24-BDC,Seg2,3,0
Y24-BDC,Seg3,3,0
Y24-BDC,Seg4,3,0
Y24-BDC,Seg5,3,0
Y24-BDC,Seg6,3,0
Y24-BDC,Seg7,3,0
Y24-BDC,Seg8,3,0
Y24-BDC,Seg9,3,0
Y24-BDC,Seg10,3,0
Y24-BDC,Seg11,3,0
Y24-BDC,Seg12,3,0
Y24-BDC,Seg13,3,0
Y24-BDC,Seg14,3,0
Y24-BDC,Seg15,3,0
Y24-BDC,Seg16,3,0
Y24-BDC,Seg17,3,0
Y24-BDC,Seg18,3,0
Y24-BDC,Seg19,3,0
Y24-BDC,Seg20,3,0
Y24-BDC,Seg21,3,1
N07-ZPC,Seg1,10,0
N07-ZPC,Seg2,10,0
N07-ZPC,Seg3,10,1
N07-ZPC,Seg4,10,1
N07-ZPC,Seg5,10,0
N07-ZPC,Seg6,10,0
N07-ZPC,Seg7,10,0
N07-ZPC,Seg8,10,0
N07-ZPC,Seg9,10,0
N07-ZPC,Seg10,10,1
N07-ZPC,Seg11,10,0
N07-ZPC,Seg12,10,0
N07-ZPC,Seg13,10,0
N07-ZPC,Seg14,10,0
N07-ZPC,Seg15,10,1
N07-ZPC,Seg16,10,0
N07-ZPC,Seg17,10,0
N07-ZPC,Seg18,10,0
N07-ZPC,Seg19,10,0
N07-ZPC,Seg20,10,0
N07-ZPC,Seg21,10,0
V42-VSR,Seg1,0,0
V42-VSR,Seg2,0,0
V42-VSR,Seg3,0,0
V42-VSR,Seg4,0,0
V42-VSR,Seg5,0,0
V42-VSR,Seg6,0,1
V42-VSR,Seg7,0,0
V42-VSR,Seg8,0,0
V42-VSR,Seg9,0,0
V42-VSR,Seg10,0,0
V42-VSR,Seg11,0,0
V42-VSR,Seg12,0,0
V42-VSR,Seg13,0,0
V42-VSR,Seg14,0,0
V42-VSR,Seg15,0,0
V42-VSR,Seg16,0,0
V42-VSR,Seg17,0,0
V42-VSR,Seg18,0,0
V42-VSR,Seg19,0,0
V42-VSR,Seg20,0,0
V42-VSR,Seg21,0,0
K63-WDF,Seg1,0,0
K63-WDF,Seg2,0,0
K63-WDF,Seg3,0,0
K63-WDF,Seg4,0,0
K63-WDF,Seg5,0,0
K63-WDF,Seg6,0,0
K63-WDF,Seg7,0,0
K63-WDF,Seg8,0,0
K63-WDF,Seg9,0,0
K63-WDF,Seg10,0,0
K63-WDF,Seg11,0,0
K63-WDF,Seg12,0,0
K63-WDF,Seg13,0,0
K63-WDF,Seg14,0,0
K63-WDF,Seg15,0,0
K63-WDF,Seg16,0,0
K63-WDF,Seg17,0,0
K63-WDF,Seg18,0,0
K63-WDF,Seg19,0,0
K63-WDF,Seg20,0,0
K63-WDF,Seg21,0,0
F27-ZXV,Seg1,3,0
F27-ZXV,Seg2,3,0
F27-ZXV,Seg3,3,0
F27-ZXV,Seg4,3,0
F27-ZXV,Seg5,3,0
F27-ZXV,Seg6,3,0
F27-ZXV,Seg7,3,0
F27-ZXV,Seg8,3,0
F27-ZXV,Seg9,3,0
F27-ZXV,Seg10,3,0
F27-ZXV,Seg11,3,0
F27-ZXV,Seg12,3,0
F27-ZXV,Seg13,3,0
F27-ZXV,Seg14,3,0
F27-ZXV,Seg15,3,1
F27-ZXV,Seg16,3,0
F27-ZXV,Seg17,3,0
F27-ZXV,Seg18,3,0
F27-ZXV,Seg19,3,0
F27-ZXV,Seg20,3,0
F27-ZXV,Seg21,3,0
C35-PXR,Seg1,0,0
C35-PXR,Seg2,0,0
C35-PXR,Seg3,0,0
C35-PXR,Seg4,0,0
C35-PXR,Seg5,0,0
C35-PXR,Seg6,0,0
C35-PXR,Seg7,0,0
C35-PXR,Seg8,0,0
C35-PXR,Seg9,0,0
C35-PXR,Seg10,0,0
C35-PXR,Seg11,0,0
C35-PXR,Seg12,0,0
C35-PXR,Seg13,0,0
C35-PXR,Seg14,0,1
C35-PXR,Seg15,0,0
C35-PXR,Seg16,0,0
C35-PXR,Seg17,0,0
C35-PXR,Seg18,0,0
C35-PXR,Seg19,0,0
C35-PXR,Seg20,0,0
C35-PXR,Seg21,0,0
X09-YPN,Seg1,3,0
X09-YPN,Seg2,3,0
X09-YPN,Seg3,3,0
X09-YPN,Seg4,3,0
X09-YPN,Seg5,3,0
X09-YPN,Seg6,3,0
X09-YPN,Seg7,3,0
X09-YPN,Seg8,3,0
X09-YPN,Seg9,3,0
X09-YPN,Seg10,3,0
X09-YPN,Seg11,3,0
X09-YPN,Seg12,3,0
X09-YPN,Seg13,3,1
X09-YPN,Seg14,3,0
X09-YPN,Seg15,3,0
X09-YPN,Seg16,3,0
X09-YPN,Seg17,3,0
